Float float_id at (latitude°N, longitude°E) on date at depth_mm depth recorded: Temperature temperature_c°C, Salinity salinity_psu PSU, Oxygen oxygen_ml_l mg/L, Nitrate chlorophyll_mg_m3 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-01-05 at 0m depth recorded: Temperature 28.7°C, Salinity 35.1 PSU, Oxygen 6.7 mg/L, Nitrate 2.4 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-01-05 at 10m depth recorded: Temperature 28.2°C, Salinity 35.2 PSU, Oxygen 6.5 mg/L, Nitrate 1.9 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-01-05 at 50m depth recorded: Temperature 25.8°C, Salinity 35.4 PSU, Oxygen 5.9 mg/L, Nitrate 0.8 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-01-05 at 100m depth recorded: Temperature 23.1°C, Salinity 35.6 PSU, Oxygen 5.0 mg/L, Nitrate 0.3 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-01-05 at 500m depth recorded: Temperature 12.3°C, Salinity 35.9 PSU, Oxygen 3.2 mg/L, Nitrate 0.04 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-01-05 at 1000m depth recorded: Temperature 6.5°C, Salinity 36.1 PSU, Oxygen 2.3 mg/L, Nitrate 0.01 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-03-05 at 0m depth recorded: Temperature 28.5°C, Salinity 35.1 PSU, Oxygen 6.8 mg/L, Nitrate 2.0 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-03-05 at 10m depth recorded: Temperature 28.0°C, Salinity 35.2 PSU, Oxygen 6.6 mg/L, Nitrate 1.7 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-03-05 at 50m depth recorded: Temperature 25.3°C, Salinity 35.4 PSU, Oxygen 5.8 mg/L, Nitrate 0.9 μM.
Float F001 at (10.3°N, -50.2°E) on 2022-03-05 at 100m depth recorded: Temperature 22.7°C, Salinity 35.7 PSU, Oxygen 4.9 mg/L, Nitrate 0.3 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-01-10 at 0m depth recorded: Temperature 23.5°C, Salinity 34.8 PSU, Oxygen 6.4 mg/L, Nitrate 1.7 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-01-10 at 10m depth recorded: Temperature 23.0°C, Salinity 34.9 PSU, Oxygen 6.3 mg/L, Nitrate 1.2 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-01-10 at 50m depth recorded: Temperature 19.5°C, Salinity 35.1 PSU, Oxygen 5.9 mg/L, Nitrate 0.6 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-01-10 at 100m depth recorded: Temperature 16.0°C, Salinity 35.4 PSU, Oxygen 4.9 mg/L, Nitrate 0.3 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-01-10 at 500m depth recorded: Temperature 9.3°C, Salinity 35.8 PSU, Oxygen 3.3 mg/L, Nitrate 0.05 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-01-10 at 1000m depth recorded: Temperature 4.7°C, Salinity 36.0 PSU, Oxygen 2.4 mg/L, Nitrate 0.01 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-03-10 at 0m depth recorded: Temperature 23.3°C, Salinity 34.7 PSU, Oxygen 6.5 mg/L, Nitrate 1.8 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-03-10 at 10m depth recorded: Temperature 22.8°C, Salinity 34.8 PSU, Oxygen 6.4 mg/L, Nitrate 1.3 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-03-10 at 50m depth recorded: Temperature 19.0°C, Salinity 35.0 PSU, Oxygen 5.8 mg/L, Nitrate 0.6 μM.
Float F002 at (-30.1°N, 20.6°E) on 2022-03-10 at 100m depth recorded: Temperature 15.3°C, Salinity 35.3 PSU, Oxygen 4.7 mg/L, Nitrate 0.3 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-02-07 at 0m depth recorded: Temperature 12.8°C, Salinity 33.5 PSU, Oxygen 6.9 mg/L, Nitrate 2.9 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-02-07 at 10m depth recorded: Temperature 12.4°C, Salinity 33.6 PSU, Oxygen 6.8 mg/L, Nitrate 2.4 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-02-07 at 50m depth recorded: Temperature 10.8°C, Salinity 34.0 PSU, Oxygen 6.3 mg/L, Nitrate 1.0 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-02-07 at 100m depth recorded: Temperature 9.1°C, Salinity 34.3 PSU, Oxygen 5.4 mg/L, Nitrate 0.4 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-02-07 at 500m depth recorded: Temperature 4.6°C, Salinity 35.1 PSU, Oxygen 3.1 mg/L, Nitrate 0.06 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-02-07 at 1000m depth recorded: Temperature 2.3°C, Salinity 35.5 PSU, Oxygen 2.2 mg/L, Nitrate 0.01 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-04-07 at 0m depth recorded: Temperature 12.5°C, Salinity 33.6 PSU, Oxygen 7.0 mg/L, Nitrate 2.7 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-04-07 at 10m depth recorded: Temperature 12.2°C, Salinity 33.7 PSU, Oxygen 6.9 mg/L, Nitrate 2.3 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-04-07 at 50m depth recorded: Temperature 10.7°C, Salinity 34.0 PSU, Oxygen 6.4 mg/L, Nitrate 1.1 μM.
Float F003 at (40.5°N, 10.1°E) on 2022-04-07 at 100m depth recorded: Temperature 9.0°C, Salinity 34.4 PSU, Oxygen 5.3 mg/L, Nitrate 0.5 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-01-20 at 0m depth recorded: Temperature 29.2°C, Salinity 35.4 PSU, Oxygen 6.7 mg/L, Nitrate 3.6 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-01-20 at 10m depth recorded: Temperature 28.8°C, Salinity 35.5 PSU, Oxygen 6.5 mg/L, Nitrate 3.0 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-01-20 at 50m depth recorded: Temperature 26.4°C, Salinity 35.6 PSU, Oxygen 6.0 mg/L, Nitrate 1.3 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-01-20 at 100m depth recorded: Temperature 23.8°C, Salinity 35.8 PSU, Oxygen 4.9 mg/L, Nitrate 0.6 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-01-20 at 500m depth recorded: Temperature 11.5°C, Salinity 36.0 PSU, Oxygen 3.2 mg/L, Nitrate 0.07 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-01-20 at 1000m depth recorded: Temperature 6.3°C, Salinity 36.2 PSU, Oxygen 2.4 mg/L, Nitrate 0.01 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-03-20 at 0m depth recorded: Temperature 29.0°C, Salinity 35.4 PSU, Oxygen 6.6 mg/L, Nitrate 3.4 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-03-20 at 10m depth recorded: Temperature 28.6°C, Salinity 35.5 PSU, Oxygen 6.4 mg/L, Nitrate 2.7 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-03-20 at 50m depth recorded: Temperature 26.1°C, Salinity 35.7 PSU, Oxygen 5.9 mg/L, Nitrate 1.2 μM.
Float F004 at (-5.0°N, 155.0°E) on 2022-03-20 at 100m depth recorded: Temperature 23.4°C, Salinity 35.9 PSU, Oxygen 4.8 mg/L, Nitrate 0.6 μM.
Float F005 at (63.0°N, -140.0°E) on 2022-02-25 at 0m depth recorded: Temperature 8.5°C, Salinity 33.2 PSU, Oxygen 7.1 mg/L, Nitrate 2.3 μM.
